i need to book a table at a food court in nh that serves smelt	O O O O O O O O B-restaurant_type I-restaurant_type O B-state O O B-served_dish
i need a reservation for 8 at a top-rated restaurant in hagaman	O O O O O B-party_size_number O O B-sort B-restaurant_type O B-city
book in oh in gurabo for velma and gloria	O O B-state O B-city O B-party_size_description I-party_size_description I-party_size_description
i want eat at the best spanish restaurant in the georgia area that is within walking distance for me and my nephew at noon	O O O O O B-sort B-cuisine B-restaurant_type O O B-state B-spatial_relation O O B-spatial_relation I-spatial_relation I-spatial_relation O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange
book a spot for connie earline and rose at an oyster bar that serves chicken fried bacon in beauregard delaware	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type I-restaurant_type O O B-served_dish I-served_dish I-served_dish O B-city B-state
book a reservation for six people at a churrascaria restaurant in cook islands one minute from now	O O O O B-party_size_number O O O B-restaurant_type I-restaurant_type O B-country I-country B-timeRange I-timeRange I-timeRange I-timeRange
book the bobcat bite in the isle of man for 6 people	O O B-restaurant_name I-restaurant_name O O B-country I-country I-country O B-party_size_number O
book a table for six around yolanda s apartment	O O O O B-party_size_number B-spatial_relation B-poi I-poi I-poi
i need a table at the close restaurant for my niece and i at the brooklyn bridge-city hall	O O O O O O B-spatial_relation B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-poi I-poi I-poi
book a table for my step father and i	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a restaurant not far from municipal borough of ealing for today	O O B-restaurant_type B-spatial_relation I-spatial_relation O B-poi I-poi I-poi I-poi O B-timeRange
book a table for 10 in char no 4 in colombia	O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name O B-country
i d like a table for 3 at an outdoor restaurant	O O O O O O B-party_size_number O O B-facility B-restaurant_type
find a table for madge and tami at a faraway joint on sterling st that serves chicken divan	O O O O B-party_size_description I-party_size_description I-party_size_description O O B-spatial_relation B-restaurant_type O B-poi I-poi O O B-served_dish I-served_dish
lets go and take elsa and i to westhampton beach in 1 hour to the american chinese cuisine at the tea house	O O O O B-party_size_description I-party_size_description I-party_size_description O B-city I-city B-timeRange I-timeRange I-timeRange O O B-served_dish I-served_dish I-served_dish O O B-restaurant_type I-restaurant_type
need a booking for a party of five at a restaurant in french polynesia	O O O O O O O B-party_size_number O O B-restaurant_type O B-country I-country
book a restaurant for 4	O O B-restaurant_type O B-party_size_number
i d like to eat at a tea house with 3 people	O O O O O O O B-restaurant_type I-restaurant_type O B-party_size_number O
reserve a table for ten people in brenham in 5 years	O O O O B-party_size_number O O B-city B-timeRange I-timeRange I-timeRange
book tun tavern for shawna davis michelle and lizzie in vermont	O B-restaurant_name I-restaurant_name O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-state
book a table for 2 people at a restaurant with parking	O O O O B-party_size_number O O O B-restaurant_type O B-facility
book a spot for 8 in a cafeteria with german chocolate cake in ecru new mexico	O O O O B-party_size_number O O B-restaurant_type O B-served_dish I-served_dish I-served_dish O B-city B-state I-state
book a cafe for one in the cocos islands	O O B-restaurant_type O B-party_size_number O O B-country I-country
book a table for 6 at a restaurant in nebraska	O O O O B-party_size_number O O B-restaurant_type O B-state
lets go to a steakhouse before we go to the pool	O O O O B-restaurant_type O B-timeRange O O O B-facility
book a highly rated restaurant for one person in rainbow lakes	O O B-sort I-sort B-restaurant_type O B-party_size_number O O B-city I-city
find an oasis drive-in close-by beach 105th st	O O B-restaurant_name I-restaurant_name B-spatial_relation B-poi I-poi I-poi
book a restaurant that serves pasta for 5 people	O O B-restaurant_type O O B-served_dish O B-party_size_number O
book a table for april twenty-second at a pub which serves creole	O O O O B-timeRange I-timeRange O O B-restaurant_type O O B-cuisine
book an indoor restaurant near wallington for 2	O O B-facility B-restaurant_type B-spatial_relation B-poi O B-party_size_number
book me a pub nine weeks from now for 4 people	O O O B-restaurant_type B-timeRange I-timeRange I-timeRange I-timeRange O B-party_size_number O
book me a restaurant that serves green bean casserole for five people	O O O B-restaurant_type O O B-served_dish I-served_dish I-served_dish O B-party_size_number O
book a restaurant for 9 at 00:37 pm	O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange
i want to eat at a scandinavian restaurant that is highly rated in bonita texas	O O O O O O B-cuisine B-restaurant_type O O B-sort I-sort O B-city B-state
i d like a table for 3 at a tavern in the vatican	O O O O O O B-party_size_number O O B-restaurant_type O O B-country
book a restaurant for four in burundi	O O B-restaurant_type O B-party_size_number O B-country
book a table for 1 at thomas hynes house	O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name
i want to book a delicatessen serving testaroli in somalia for 7/25/2027	O O O O O B-restaurant_type O B-served_dish O B-country O B-timeRange
book a table for 2 at a nearby restaurant	O O O O B-party_size_number O O B-spatial_relation B-restaurant_type
i want to book a bistro that serves pasta salad in brazil	O O O O O B-restaurant_type O O B-served_dish I-served_dish O B-country
i need to book a restaurant in the same area as thompsontown for emma and karen johnson	O O O O O B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a restaurant in switzerland for 3	O O B-restaurant_type O B-country O B-party_size_number
get me a reservation for two at a restaurant which serves burger	O O O O O B-party_size_number O O B-restaurant_type O O B-served_dish
i want to eat for two at a brasserie in gwynedd valley tn with pickled cucumber in one second	O O O O O B-party_size_number O O B-restaurant_type O B-city I-city B-state O B-served_dish I-served_dish B-timeRange I-timeRange I-timeRange
can you make reservations for 1 person in il	O O O O O B-party_size_number O O B-state
i need a reservation for around london borough	O O O O O B-spatial_relation B-poi I-poi
i want to book a table for me and my boss at glassy junction in turkey	O O O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name O B-country
book restaurnt at n9ne group in loogootee ut	O O O B-restaurant_name I-restaurant_name O B-city B-state
book a table for four around midnight in saint pierre and miquelon	O O O O B-party_size_number O B-timeRange O B-country I-country I-country I-country
can you make reservations for two people somewhere distant from sutphin blvd	O O O O O B-party_size_number O O B-spatial_relation O B-poi I-poi
i want to book a restaurant in the same area where i live in ma for ebony and yolanda	O O O O O B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O O O O B-state O B-party_size_description I-party_size_description I-party_size_description
i d like a reservation for thornbury castle three hours from now in nm	O O O O O O B-restaurant_name I-restaurant_name B-timeRange I-timeRange I-timeRange I-timeRange O B-state
i d like to eat at a highly rated pub with 6 people	O O O O O O O B-sort I-sort B-restaurant_type O B-party_size_number O
book a spot for one at a restaurant in id	O O O O B-party_size_number O O B-restaurant_type O B-state
i have six people who would like to eat at a cafe that serves american chinese cuisine in tx	O O B-party_size_number O O O O O O O O B-restaurant_type O O B-served_dish I-served_dish I-served_dish O B-state
i want a table for five at a place in russia on 4/4/2036	O O O O O B-party_size_number O O O O B-country O B-timeRange
book a gluten free restaurant in arp	O O B-cuisine I-cuisine B-restaurant_type O B-city
please book me a table for three at an american gastropub	O O O O O O B-party_size_number O O B-cuisine B-restaurant_type
book a restaurant for one	O O B-restaurant_type O B-party_size_number
i need a reservation for three people at a spa restaurant in two hundred thirty seven days	O O O O O B-party_size_number O O O B-facility B-restaurant_type B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange
book a steinway st place for 8 that is close	O O B-poi I-poi O O B-party_size_number O O B-spatial_relation
i would like to book at clinton street baking company & restaurant in brookneal	O O O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-city
book a restaurant in pinecliffe missouri this month	O O B-restaurant_type O B-city B-state B-timeRange I-timeRange
need a table for a party of 3 in laos at a theme restaurant	O O O O O O O B-party_size_number O B-country O O B-restaurant_name I-restaurant_name
book a osteria with smoking room in creola	O O B-restaurant_type O B-facility I-facility O B-city
book reservations at a restaurant for me and my ex husband in west virginia	O O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-state I-state
book in south dakota for lobster newberg at a pub	O O B-state I-state O B-served_dish I-served_dish O O B-restaurant_type
book a food court for 5 serving african food	O O B-restaurant_type I-restaurant_type O B-party_size_number O B-cuisine O
need to book a table downtown within walking distance of me at j g melon	O O O O O B-poi B-spatial_relation I-spatial_relation I-spatial_relation O O O B-restaurant_name I-restaurant_name I-restaurant_name
at four pm i need a table for 8 at a restaurant in guernsey that serves salade	O B-timeRange I-timeRange O O O O O B-party_size_number O O B-restaurant_type O B-country O O B-served_dish
book a table for me and belinda serving minestra in a bar	O O O O B-party_size_description I-party_size_description I-party_size_description O B-served_dish O O B-restaurant_type
book a tea house on 5/20/2028 in pataskala that serves crepe in nc for five	O O B-restaurant_type I-restaurant_type O B-timeRange O B-city O O B-served_dish O B-state O B-party_size_number
i need a reservation for cashel palace hotel in california for a party of 9	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state O O O O B-party_size_number
i m hoping to find a table for six at a pub on jul 19 2029	O O O O O O O O B-party_size_number O O B-restaurant_type O B-timeRange I-timeRange I-timeRange
book the best joint for 3 people	O O B-sort B-restaurant_type O B-party_size_number O
i want to book a restaurant for eight in harding	O O O O O B-restaurant_type O B-party_size_number O B-city
i d like to eat with a party of nine in snapfinger pa	O O O O O O O O O B-party_size_number O B-city B-state
book a bakery at zero o clock for 5 people	O O B-restaurant_type O B-timeRange I-timeRange I-timeRange O B-party_size_number O
book a table for 7 at a popular bistro distant from kremmling	O O O O B-party_size_number O O B-sort B-restaurant_type B-spatial_relation O B-city
book a table at anstruther fish bar in fm	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state
want to eat at the meatball shop that s within walking distance of erica s campus	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O O B-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi I-poi
book a table for ten in pollock pa	O O O O B-party_size_number O B-city B-state
i d like to book a reservation for next spring for nine people at shore club	O O O O O O O O B-timeRange I-timeRange O B-party_size_number O O B-restaurant_name I-restaurant_name
book a restaurant in seven in fort mckinley	O O B-restaurant_type O B-party_size_number O B-city I-city
book a restaurant for 7 people	O O B-restaurant_type O B-party_size_number O
book a jewish churrascaria in minnesota for 9 people	O O B-cuisine B-restaurant_type O B-state O B-party_size_number O
i need a table for 5 at a brasserie that has a reuben sandwich	O O O O O B-party_size_number O O B-restaurant_type O O O B-served_dish I-served_dish
i want to eat at a indoor bar for two	O O O O O O B-facility B-restaurant_type O B-party_size_number
book reservations at a highly rated bar on 11/23/2031	O O O O B-sort I-sort B-restaurant_type O B-timeRange
i want to book a minnesota bar	O O O O O B-state B-restaurant_type
book city tavern in poland	O B-restaurant_name I-restaurant_name O B-country
book a reservation for the training table on mar thirteenth 2026	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange
reserve in bermuda a food court near jan and i	O O B-country O B-restaurant_type I-restaurant_type B-spatial_relation B-party_size_description I-party_size_description I-party_size_description
book a cafeteria with wifi	O O B-restaurant_type O B-facility
book at beardslee castle in fairview lanes for fifteen o clock	O O B-restaurant_name I-restaurant_name O B-city I-city O B-timeRange I-timeRange I-timeRange
i want to find an oyster bar with tetrazzini for 9 people	O O O O O B-restaurant_type I-restaurant_type O B-served_dish O B-party_size_number O
i need a reservation for the best asian joint on jan 3 in bradford alabama for a party of 9	O O O O O O B-sort B-cuisine B-restaurant_type O B-timeRange I-timeRange O B-city B-state O O O O B-party_size_number
book a restaurant for one for this month	O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange
i d like to reserve a table in northcote	O O O O O O O O B-restaurant_name
i would like to book a restaurant in niagara falls for 8 on june nineteenth	O O O O O O B-restaurant_type O B-city I-city O B-party_size_number O B-timeRange I-timeRange
book a table for 10 at top pot doughnuts	O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name
book me a restaurant reservation in fiji for zero am	O O O B-restaurant_type O O B-country O B-timeRange I-timeRange
book a restaurant that serves agnolotti in colorado city idaho	O O B-restaurant_type O O B-served_dish O B-city I-city B-state
need a table at a highly rated south tyrolean joint	O O O O O B-sort I-sort B-cuisine I-cuisine B-restaurant_type
i need a top-rated pub in friona	O O O B-sort B-restaurant_type O B-city
book tartine in mississippi for 5	O B-restaurant_name O B-state O B-party_size_number
book a table for five at a restaurant with the best rating	O O O O B-party_size_number O O B-restaurant_type O O B-sort O
book me a reservation for a mediterranean restaurant on confederate memorial day nearby ocean grove	O O O O O O B-cuisine B-restaurant_type O B-timeRange I-timeRange I-timeRange B-spatial_relation B-poi I-poi
book a popular restaurant in new jersey	O O B-sort B-restaurant_type O B-state I-state
i would like to book a restaurant in poncha springs for 8 at 00:32 am	O O O O O O B-restaurant_type O B-city I-city O B-party_size_number O B-timeRange I-timeRange
book a party for 7 at a food court with potato salad in alabama in eleven hours	O O O O B-party_size_number O O B-restaurant_type I-restaurant_type O B-served_dish I-served_dish O B-state B-timeRange I-timeRange I-timeRange
book a restaurant for four on october 9 in maine	O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange O B-state
find me a table for 8 somewhee in hollenberg in nine weeks	O O O O O B-party_size_number O O B-city B-timeRange I-timeRange I-timeRange
book some indonesian food truck food that is not far for a party of 8 in ia	O O B-cuisine B-restaurant_type I-restaurant_type O O O B-spatial_relation I-spatial_relation O O O O B-party_size_number O B-state
book a restaurant in eleele on october the fifth for 3 people	O O B-restaurant_type O B-city O B-timeRange I-timeRange I-timeRange O B-party_size_number O
book a table at a cuban pub for 5 pm for a party of 7 in virginia	O O O O O B-cuisine B-restaurant_type O B-timeRange I-timeRange O O O O B-party_size_number O B-state
book the tea house on north river	O O B-restaurant_type I-restaurant_type O B-city I-city
i need a reservation for a highly rated goiano restaurant in ar	O O O O O O B-sort I-sort B-cuisine B-restaurant_type O B-state
book a highly rated restaurant with northeastern for 10 in satanta	O O B-sort I-sort B-restaurant_type O B-cuisine O B-party_size_number O B-city
i want to get nine seats at a restaurant that serves ice cream cake	O O O O B-party_size_number O O O B-restaurant_type O O B-served_dish I-served_dish I-served_dish
book fast food that is highly rated	O B-restaurant_type I-restaurant_type O O B-sort I-sort
i d like to eat surf and turf in one minute at a bar	O O O O O B-served_dish I-served_dish I-served_dish B-timeRange I-timeRange I-timeRange O O B-restaurant_type
i need to book a table at brasserie for 10 that is highly rated in kentucky	O O O O O O O B-restaurant_type O B-party_size_number O O B-sort I-sort O B-state
book a table at a restaurant for 10/24/2028 for me and lauren	O O O O O B-restaurant_type O B-timeRange O B-party_size_description I-party_size_description I-party_size_description
book a spot for 2 at a brasserie that has hot dog in wa at twelve am	O O O O B-party_size_number O O B-restaurant_type O O B-served_dish I-served_dish O B-state O B-timeRange I-timeRange
book a reservation for can fabes nearby namibia	O O O O B-restaurant_name I-restaurant_name B-spatial_relation B-country
i want to book a restaurantin perrytown missouri for candice jeannie and nichole	O O O O O O B-city B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book reservations at restaurant in edgemoor nm on august 3 2024	O O O B-restaurant_type O B-city B-state O B-timeRange I-timeRange I-timeRange
book a restaurant for 5	O O B-restaurant_type O B-party_size_number
book a spot for ten at a pub that has umbrian in nv on feb the fourth	O O O O B-party_size_number O O B-restaurant_type O O B-cuisine O B-state O B-timeRange I-timeRange I-timeRange
i want to book a restaurant	O O O O O B-restaurant_type
book reservation at a restaurant in south mills mt for one at 07:07	O O O O B-restaurant_type O B-city I-city B-state O B-party_size_number O B-timeRange
need a restaurant booking for next week for a party of 6 in the state of or	O O B-restaurant_type O O B-timeRange I-timeRange O O O O B-party_size_number O O O O B-state
book a restaurant for three people in jenkins	O O B-restaurant_type O B-party_size_number O O B-city
i need a table for five in viroqua	O O O O O B-party_size_number O B-city
i want to eat at the trout creek restaurant for 9 people for bougatsa that is the best	O O O O O O B-city I-city B-restaurant_type O B-party_size_number O O B-cuisine O O O B-sort
book an australian restaurant in moldova	O O B-cuisine B-restaurant_type O B-country
book a table for 8 at a pub in north carolina	O O O O B-party_size_number O O B-restaurant_type O B-state I-state
book a spot for nine at a top-rated brasserie that has swiss within the same area of new york	O O O O B-party_size_number O O B-sort B-restaurant_type O O B-cuisine B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-state I-state
book pm park clear lake iowa at 5 am for 6 people	O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange I-timeRange O B-party_size_number O
book an australian restaurant in jacksboro three weeks from now for my step father and i	O O B-cuisine B-restaurant_type O B-city B-timeRange I-timeRange I-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a spot for six at bear hotel in 5 seconds	O O O O B-party_size_number O B-restaurant_name I-restaurant_name B-timeRange I-timeRange I-timeRange
reserve a table for two at the restaurant at 9 pm	O O O O B-party_size_number O O B-restaurant_type O B-timeRange I-timeRange
find me a creole restaurant	O O O B-served_dish B-restaurant_type
book a spot at a sushis diner in minnesota	O O O O O B-served_dish B-restaurant_type O B-state
book a churrascaria in macao on may the twenty-third	O O B-restaurant_type O B-country O B-timeRange I-timeRange I-timeRange
i need to book a table for claudia and imelda at a brasserie that is top-rated	O O O O O O O B-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O O B-sort
book a restaurant in puerto rico	O O B-restaurant_type O B-state I-state
find a reservation for a party of six in tuvalu	O O O O O O O B-party_size_number O B-country
book a tavern on lincoln s birthday/lincoln s day	O O B-restaurant_type O B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange
make a booking for the highly rated food court in montenegro	O O O O O B-sort I-sort B-restaurant_type I-restaurant_type O B-country
i need a reservation for my teens and i six months from now in tennessee	O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description B-timeRange I-timeRange I-timeRange I-timeRange O B-state
book a restaurant in mauritania for 1 person	O O B-restaurant_type O B-country O B-party_size_number O
book a reservation for gaslight tavern on may the twenty-seventh	O O O O B-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange
make me a reservation at a delicatessen that serves tofy for a party of four in az	O O O O O O B-restaurant_type O O B-served_dish O O O O B-party_size_number O B-state
book for 3 in u s virgin islands	O O B-party_size_number O B-country I-country I-country I-country
i want a table for 2 at a portugal restaurant	O O O O O B-party_size_number O O B-country B-restaurant_type
book a spot for 10 at shopsins in denmark on st patrick s day	O O O O B-party_size_number O B-restaurant_name O B-country O B-timeRange I-timeRange I-timeRange I-timeRange
i need a reservation at sunrise for melva and heidi at a local restaurant	O O O O O B-timeRange O B-party_size_description I-party_size_description I-party_size_description O O O B-restaurant_type
book me a pizzeria that serves oreo for eight	O O O B-restaurant_type O O B-served_dish O B-party_size_number
book in pine bluffs for 5 people in the same area	O O B-city I-city O B-party_size_number O B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation
book a restaurant this year for party of 2	O O B-restaurant_type B-timeRange I-timeRange O O O B-party_size_number
book a reservation for 9 people at a roman pizzeria	O O O O B-party_size_number O O O B-cuisine B-restaurant_type
i d like to book at a place in michigan for a party of 3 name of the restaurant is carter house inn	O O O O O O O O O B-state O O O O B-party_size_number O O O O O B-restaurant_name I-restaurant_name I-restaurant_name
book a boon brick store for my grandkid and i at evans mills	O O B-restaurant_name I-restaurant_name I-restaurant_name O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-city I-city
i want to eat choucroute at a brasserie for 8	O O O O B-served_dish O O B-restaurant_type O B-party_size_number
book a reservation for my babies and i	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a reservation for a restaurant not far from ma	O O O O O B-restaurant_type B-spatial_relation I-spatial_relation O B-state
i would like to book a restaurant in tanzania that is within walking distance for my mom and i	O O O O O O B-restaurant_type O B-country O O B-spatial_relation I-spatial_relation I-spatial_relation O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a reservation for an oyster bar	O O O O O B-restaurant_type I-restaurant_type
book a reservation for 6 people for a creole tavern in montenegro	O O O O B-party_size_number O O O B-cuisine B-restaurant_type O B-country
i need a table in sacaton at a gluten free restaurant	O O O O O B-city O O B-cuisine I-cuisine B-restaurant_type
book sot for me and my grandfather nearby west reading	O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description B-spatial_relation B-poi I-poi
book me and my nieces a reservation for a seafood restaurant in cle elum ne on ascension day	O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O B-served_dish B-restaurant_type O B-city I-city B-state O B-timeRange I-timeRange
book spot for two at city tavern	O O O B-party_size_number O B-restaurant_name I-restaurant_name
i want to book a brasserie for 3 people in netherlands antilles	O O O O O B-restaurant_type O B-party_size_number O O B-country I-country
book me a reservation for the best bistro	O O O O O O B-sort B-restaurant_type
book the best table in tanzania for 5 people at a diner	O O B-sort O O B-country O B-party_size_number O O O B-restaurant_type
i want to book a joint in a spa	O O O O O B-restaurant_type O O B-facility
book a gastropub that serves turkish food for 4 people	O O B-restaurant_type O O B-cuisine O O B-party_size_number O
book spot for 7 at an indoor restaurant in mp now	O O O B-party_size_number O O B-facility B-restaurant_type O B-state B-timeRange
i want to book a restaurant for five people in sri lanka	O O O O O B-restaurant_type O B-party_size_number O O B-country I-country
i need a table for 5 at a highly rated gastropub in concord mn	O O O O O B-party_size_number O O B-sort I-sort B-restaurant_type O B-city B-state
i want to book oregon electric station in north city	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-city I-city
i need a table for 4 please confirm the reservation	O O O O O B-party_size_number O O O O
book a popular restaurant for 5 people	O O B-sort B-restaurant_type O B-party_size_number O
i want to book a joint close by the naomi s hostel for a meal for 8 people	O O O O O B-restaurant_type B-spatial_relation I-spatial_relation O B-poi I-poi I-poi O O B-timeRange O B-party_size_number O
i want to eat a delicatessen in thirteen hours that serves eastern european food	O O O O O B-restaurant_type B-timeRange I-timeRange I-timeRange O O B-cuisine I-cuisine O
book a reservation for nine people at a bakery in nunez	O O O O B-party_size_number O O O B-restaurant_type O B-city
book a reservation at tavern for noodle	O O O O B-restaurant_type O B-served_dish
book spot for 4 in somalia	O O O B-party_size_number O B-country
i want to book albany pump station in buckholts washington now for a party of 9	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-city B-state B-timeRange O O O O B-party_size_number
i want to book a taverna in archer city for this spring for nine people	O O O O O B-restaurant_type O B-city I-city O B-timeRange I-timeRange O B-party_size_number O
i want to book a top-rated brasserie for 7 people	O O O O O B-sort B-restaurant_type O B-party_size_number O
book a reservation for 8 people in wardville kansas	O O O O B-party_size_number O O B-city B-state
table for breadline cafe in minnesota next friday	O O B-restaurant_name I-restaurant_name O B-state B-timeRange I-timeRange
i want to book a restaurant in niger for seven people	O O O O O B-restaurant_type O B-country O B-party_size_number O
book spot for 9	O O O B-party_size_number
book me a reservation for a pub in cormorant for a party of nine	O O O O O O B-restaurant_type O B-city O O O O B-party_size_number
book spot for my nieces and i at a tea house	O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type I-restaurant_type
i want to book a jewish restaurant in gambia	O O O O O B-cuisine B-restaurant_type O B-country
book a reservation for the dome edinburgh close to brooklawn	O O O O B-restaurant_name I-restaurant_name I-restaurant_name B-spatial_relation O B-poi
book spot for 1 at town of ramsgate in merit	O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name O B-city
book a spot for me and kathrine at smithville	O O O O B-party_size_description I-party_size_description I-party_size_description O B-city
i want to book a restaurant for my father in law and i in buckner a year from now	O O O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-city B-timeRange I-timeRange I-timeRange I-timeRange
book a restaurant reservation in 6 weeks	O O B-restaurant_type O B-timeRange I-timeRange I-timeRange
book a reservation for a bar with a spa nearby id	O O O O O B-restaurant_type O O B-facility B-spatial_relation B-state
book spot for four at cliff house san francisco in martinique	O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-country
i need a table for 4 in saint helena at settha palace hotel	O O O O O B-party_size_number O B-country I-country O B-restaurant_name I-restaurant_name I-restaurant_name
i want to book a restaurant in frenier 12 years from now for 4 people	O O O O O B-restaurant_type O B-city B-timeRange I-timeRange I-timeRange I-timeRange O B-party_size_number O
book seven in neighboring moorpark	O B-party_size_number O B-spatial_relation B-city
i want to eat by five pm in ne for a six people	O O O O O B-timeRange I-timeRange O B-state O O B-party_size_number O
i want to book tupelo honey cafe in new jersey for five people	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state I-state O B-party_size_number O
book a reservation for two at mickies dairy bar in weedsport	O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name O B-city
book a table at a fried chicken restaurant	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name
book spot for mavis sheila and i in syria at elevenses	O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-country O B-timeRange
can you book me a table at windows on the world in cokeville mi	O O O O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-city B-state
book me a table for 5 this year at cherwell boathouse	O O O O O B-party_size_number B-timeRange I-timeRange O B-restaurant_name I-restaurant_name
book spot for six at 8 pm at a coffeehouse in ne that serves hog fry	O O O B-party_size_number O B-timeRange I-timeRange O O B-restaurant_type O B-state O O B-served_dish I-served_dish
i want to book a restaurant close-by in inman for five people	O O O O O B-restaurant_type B-spatial_relation O B-city O B-party_size_number O
i need a table at eddie s attic in nevada for one	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state O B-party_size_number
book a reservation for an osteria restaurant for 4 people on november 4	O O O O O B-restaurant_type O O B-party_size_number O O B-timeRange I-timeRange
i want to book a top-rated restaurant close by in la for me rebecca and loraine on 2/6/2020	O O O O O B-sort B-restaurant_type B-spatial_relation O O B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange
book a reservation for 1 at a diner in wi	O O O O B-party_size_number O O B-restaurant_type O B-state
book a reservation for 5 people at the top-rated brasserie restaurant	O O O O B-party_size_number O O O B-sort B-restaurant_type O
book a table on 1/20/2023 for 5 people in mh	O O O O B-timeRange O B-party_size_number O O B-state
book a table near pat s college	O O O B-spatial_relation B-poi I-poi I-poi
i want to book a steakhouse in vimy ridge	O O O O O B-restaurant_type O B-city I-city
i want a table at james d conrey house in urbank california	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-city B-state
like to book a seat in monaco for the yankee doodle coffee shop	O O O O O O B-country O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name
i want to book a table in a restaurant in bouvet island	O O O O O O O O B-restaurant_type O B-country I-country
i would like to book a restaurant for souvlaki cuisine in the state of ne	O O O O O O B-restaurant_type O B-cuisine O O O O O B-state
book a reservation for 10 people at an oyster bar with a pool within the same area of cowansburg for 10 pm	O O O O B-party_size_number O O O B-restaurant_type I-restaurant_type O O B-facility B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-city O B-timeRange I-timeRange
book a reservation for velma ana and rebecca for an american pizzeria at 5 am in ma	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-cuisine B-restaurant_type O B-timeRange I-timeRange O B-state
book a spot for 4 in oklahoma at south street diner	O O O O B-party_size_number O B-state O B-restaurant_name I-restaurant_name I-restaurant_name
book a reservation for my mommy and i at a restaurant in central african republic	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-country I-country I-country
book a reservation for five people for a tatar taverna in sargents	O O O O B-party_size_number O O O B-cuisine B-restaurant_type O B-city
phyllis ward and veronica need a table at a restaurant in 152 days	B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O O B-restaurant_type B-timeRange I-timeRange I-timeRange
