i want to fly from baltimore to dallas round trip	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip
round trip fares from baltimore to philadelphia less than 1000 dollars or round trip fares from denver to philadelphia less than 1000 dollars or round trip fares from pittsburgh to philadelphia less than 1000 dollars	B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount B-or B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount B-or B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount
i want a flight on saturday from minneapolis to long beach	O O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
flights from nashville to orlando daily	O O B-fromloc.city_name O B-toloc.city_name B-flight_days
are there any flights from denver to pittsburgh connecting in atlanta	O O O O O B-fromloc.city_name O B-toloc.city_name B-connect O B-stoploc.city_name
show me the flights that go from san diego to newark new jersey	O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name
what are the flights available after 6 pm between san francisco and boston	O O O O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
i would like to book on delta airlines their earliest possible flight from washington dc to san francisco	O O O O O O B-airline_name I-airline_name O B-flight_mod O O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name I-toloc.city_name
show me all flights from pittsburgh to oakland that arrive after 10 am	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
okay and can you tell me for flights departing from dallas to philadelphia the latest flight you would have departing from dallas to philadelphia	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-flight_mod O O O O O O B-fromloc.city_name O B-toloc.city_name
flights from pittsburgh to newark	O O B-fromloc.city_name O B-toloc.city_name
list the wednesday flights from denver to baltimore arriving in baltimore between 1115 am and 1245 pm	O O B-depart_date.day_name O O B-fromloc.city_name O B-toloc.city_name O O B-toloc.city_name O B-arrive_time.start_time I-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time
what is the fare for a one way flight from boston to atlanta	O O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
i'd like to fly round trip from boston to pittsburgh	O O O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name
what is airline nw	O O O B-airline_code
i want a return flight from washington to dallas on american airlines	O O O B-round_trip O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name
is there ground transportation from the boston airport to downtown boston	O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name
list daily flights from atlanta to denver	O B-flight_days O O B-fromloc.city_name O B-toloc.city_name
i need a ticket from los angeles to charlotte that leaves early in the morning	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_mod O O B-depart_time.period_of_day
does continental airlines fly from pittsburgh to atlanta	O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name
what are the delta flights from dallas to boston	O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name
all flights from cleveland to newark	O O O B-fromloc.city_name O B-toloc.city_name
what is hp	O O B-airline_code
show me the flights from philadelphia to dallas that stop in atlanta	O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-stoploc.city_name
are there any nonstop flights from philadelphia to denver that arrive before 5 pm	O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
from washington to atlanta	O B-fromloc.city_name O B-toloc.city_name
show me flights from dallas to atlanta	O O O O B-fromloc.city_name O B-toloc.city_name
i'd like to go from boston to pittsburgh to find the cheapest flight	O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-cost_relative O
what flights from st. louis to st. paul on thursday leaving after 10 am	O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time
how many seats in a 72s	O O O O O B-aircraft_code
dallas to baltimore monday	B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name
what's the cheapest flight from denver to pittsburgh for both one way and round trip flights	O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name O O B-round_trip I-round_trip O B-round_trip I-round_trip O
how many airlines have flights with service class yn	O O O O O O O O B-fare_basis_code
what is the cheapest one way fare from any city to another	O O O B-cost_relative B-round_trip I-round_trip O O O O O O
i need a flight from philadelphia to dallas that stops in atlanta	O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-stoploc.city_name
is there ground transportation in oakland	O O O O O B-city_name
show me all the lufthansa flights between philadelphia and denver	O O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name
what are the cheapest one way flights from denver to atlanta	O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
show all connecting flights from pittsburgh to oakland	O O B-connect O O B-fromloc.city_name O B-toloc.city_name
tell me about twa flight 539	O O O B-airline_code O B-flight_number
which united airlines flights go through denver	O B-airline_name I-airline_name O O O B-stoploc.city_name
i need to go from boston to atlanta and back in the same day find me the earliest flight from boston	O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O B-return_date.date_relative O O O B-flight_mod O O B-fromloc.city_name
i would like a flight from dallas to philadelphia	O O O O O O B-fromloc.city_name O B-toloc.city_name
i would like the cheapest flight from pittsburgh to atlanta leaving april twenty fifth and returning may sixth	O O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O B-return_date.month_name B-return_date.day_number
how much time does it take to go between the airport and downtown by ground transportation in dallas	O O O O O O O O O O O O O O O O O B-city_name
which airlines have connections between pittsburgh and baltimore	O O O O O B-fromloc.city_name O B-toloc.city_name
please list the flights from kansas city to denver	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
i would like to make a reservation for a flight to denver from philadelphia on this coming sunday	O O O O O O O O O O O B-toloc.city_name O B-fromloc.city_name O B-depart_date.date_relative O B-depart_date.day_name
i need an early flight from dallas to houston	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name
what is the cheapest round trip flight from atlanta to pittsburgh	O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
show me the flights from st. petersburg to toronto that leave monday	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name
what does ord mean	O O B-airport_code O
what is the fare on november seventh going one way from pittsburgh to philadelphia	O O O O O B-depart_date.month_name B-depart_date.day_number O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name
what are the first class fares from dallas to baltimore	O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name
what does nw stand for	O O B-airline_code O O
ground transport in denver	O O O B-city_name
show me the flights from pittsburgh to san francisco on friday	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
are there any flights between philadelphia and denver	O O O O O B-fromloc.city_name O B-toloc.city_name
round trip air fares from baltimore to philadelphia less than 1000 dollars	B-round_trip I-round_trip O O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount
what is the cost of a first class ticket from dallas fort worth to san francisco	O O O O O O B-class_type I-class_type O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what flights depart newark for tampa on friday	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
ground transportation denver	O O B-city_name
i want a flight on continental airlines leaving san francisco california arriving pittsburgh pennsylvania	O O O O O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name
give me the latest northwest airlines flight from milwaukee to tacoma tomorrow	O O O B-flight_mod B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name B-depart_date.today_relative
what is the first class fare for a round trip dallas to denver	O O O B-class_type I-class_type O O O B-round_trip I-round_trip B-fromloc.city_name O B-toloc.city_name
i want to know the time of the latest flight i can take from washington to san francisco where i can get a dinner meal	O O O O O B-flight_time O O B-flight_mod O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O B-meal_description I-meal_description
show me all the cities that midwest express serves	O O O O O O B-airline_name O O
i want a flight from atlanta to pittsburgh	O O O O O B-fromloc.city_name O B-toloc.city_name
list all flights going from boston to atlanta after 6 o'clock pm on wednesday	O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time O B-depart_date.day_name
show me the flights from san francisco to boston	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
what's the name of the denver airport	O O O O O B-airport_name I-airport_name
show me the flights from san francisco to pittsburgh on tuesday	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
what are the morning flights from nashville to tacoma and from nashville to san jose in the next two days	O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_date.date_relative O O
what flights go from dallas to denver leaving after 3 pm	O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time
give me flights from pittsburgh to baltimore	O O O O B-fromloc.city_name O B-toloc.city_name
please give me ground transportation information between dallas fort worth airport and downtown dallas	O O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name
i need a flight from st. petersburg to charlotte which will get me into charlotte by 5 pm or as soon thereafter as possible	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time B-or O O O O O
show me prices of flights from baltimore to dallas	O O O O O O B-fromloc.city_name O B-toloc.city_name
cheapest fare from memphis to seattle	B-cost_relative O O B-fromloc.city_name O B-toloc.city_name
what are the cheapest one way flights from atlanta to denver	O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
i'd like a twa flight from atlanta to pittsburgh with a stopover in fort worth dallas please	O O O B-airline_code O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name I-stoploc.city_name B-stoploc.city_name O
i need a first class ticket on united airlines from denver to baltimore scheduled for december seventeenth	O O O B-class_type I-class_type O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.month_name B-depart_date.day_number
show me flights from milwaukee to orlando on wednesday night	O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
please list all delta flights from kansas city to salt lake city	O O O B-airline_name O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name
what flights are there from denver to atlanta	O O O O O B-fromloc.city_name O B-toloc.city_name
show me the flights available from atlanta to baltimore leaving atlanta in the morning	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-fromloc.city_name O O B-depart_time.period_of_day
give me a flight from baltimore to newark that arrives as early as possible	O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O O
what flights leave from boston to pittsburgh in the morning	O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day
pittsburgh to denver	B-fromloc.city_name O B-toloc.city_name
okay on tuesday june first i'd like to go from phoenix to detroit in the late afternoon	O O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day I-depart_time.period_of_day
show me the ground transportation in denver	O O O O O O B-city_name
what flights go from dallas to tampa	O O O O B-fromloc.city_name O B-toloc.city_name
what flights from kansas city to denver after 845 in the morning	O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time O O B-depart_time.period_of_day
show flights from cleveland to miami that arrive before 4 pm	O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
find the flights leaving dallas and going to san francisco that leave after 5 pm	O O O O B-fromloc.city_name O O O B-toloc.city_name I-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time
what are the coach fares for flights from charlotte to newark tuesday evening	O O O B-class_type O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day
tell me the flights from baltimore to dallas	O O O O O B-fromloc.city_name O B-toloc.city_name
which united flights from boston to san francisco make connections	O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-connect
instead of denver can i have the same flight from toronto to san diego but stopping in dallas fort worth	B-mod O B-fromloc.city_name O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name I-stoploc.city_name I-stoploc.city_name
what're the lowest one way fares from denver to atlanta	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
what are the rental car rates in dallas	O O O B-transport_type I-transport_type O O B-city_name
i would like a schedule of flights from denver to san francisco on tuesday	O O O O B-flight_time O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
i want a flight from denver to pittsburgh then from pittsburgh to atlanta then from atlanta back to pittsburgh back to denver	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name O O B-toloc.city_name O O B-toloc.city_name
i need a flight from pittsburgh to new york city	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name
what flights go from boston to atlanta	O O O O B-fromloc.city_name O B-toloc.city_name
what airlines fly from boston to atlanta	O O O O B-fromloc.city_name O B-toloc.city_name
show me all flights for tomorrow from san francisco to pittsburgh	O O O O O B-depart_date.today_relative O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
are there any later flights than 810 pm leaving from milwaukee for tacoma tomorrow evening	O O O B-depart_time.time_relative O O B-depart_time.time I-depart_time.time O O B-fromloc.city_name O B-toloc.city_name B-depart_date.today_relative B-depart_time.period_of_day
what are the flights between dallas and pittsburgh on july eight	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
what is the earliest flight leaving denver and arriving in baltimore on united airlines first class on july fourth	O O O B-flight_mod O O B-fromloc.city_name O O O B-toloc.city_name O B-airline_name I-airline_name B-class_type I-class_type O B-arrive_date.month_name B-arrive_date.day_number
what northwest flights stop in denver	O B-airline_name O O O B-stoploc.city_name
what flights from kansas city to atlanta arriving before 10 am on monday	O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O B-arrive_date.day_name
show me the flights from pittsburgh to dallas	O O O O O B-fromloc.city_name O B-toloc.city_name
what is the lowest cost for a one way ticket from boston to washington	O O O B-cost_relative I-cost_relative O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
looking for a flight from denver to salt lake city	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name
show me first class round trip flights from new york to miami i want the cheapest first class fare please	O O B-class_type I-class_type B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-cost_relative B-class_type I-class_type O O
now i need another flight from las vegas to los angeles arriving also in the late afternoon what's available for that	O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-arrive_time.period_of_day I-arrive_time.period_of_day O O O O
return from miami to new york on tower air on saturdays	O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name O B-depart_date.day_name
round trip fares from denver to philadelphia less than 1000 dollars	B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount
where is lester pearson airport	O O B-airport_name I-airport_name I-airport_name
show me the flights from denver to westchester county	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what is the fare on november seventh going one way from dallas to san francisco	O O O O O B-depart_date.month_name B-depart_date.day_number O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what is the cheapest fare from dallas to denver on delta	O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name O B-airline_name
show me the flights from baltimore to philadelphia	O O O O O B-fromloc.city_name O B-toloc.city_name
okay on monday may thirty first i'd like to go from san diego to phoenix early in the morning	O O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-depart_time.period_mod O O B-depart_time.period_of_day
what flights go from charlotte to baltimore in the morning	O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day
is there ground transportation available in denver	O O O O O O B-city_name
is ground transportation available in philadelphia	O O O O O B-city_name
ground san francisco	O B-city_name I-city_name
please list all first class flights on united from denver to baltimore	O O O B-class_type I-class_type O O B-airline_name O B-fromloc.city_name O B-toloc.city_name
can you show me fares for december sixteenth from oakland to dallas one way only	O O O O O O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip O
what times does continental depart from boston to san francisco	O B-flight_time O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
show me all flights from san francisco to oakland	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
first class from detroit to st. petersburg	B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
can you rent a car at stapleton international airport in denver	O O O O B-transport_type O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O B-fromloc.city_name
list airlines serving between denver and san francisco	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
show me the first class flights from denver to baltimore	O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name
could i have a listing of flights leaving boston going to baltimore leaving wednesday after 2100	O O O O O O O O B-fromloc.city_name O O B-toloc.city_name O B-depart_date.day_name B-depart_time.time_relative B-depart_time.time
show me all flights from dallas to san francisco	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
i need to fly from dallas to san francisco and be in san francisco by 4 pm	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-toloc.city_name I-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
i want to go and take a plane in atlanta and fly to boston	O O O O O O O O O B-fromloc.city_name O O O B-toloc.city_name
what is the most expensive one way fare from boston to atlanta on american airlines	O O O B-cost_relative I-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name
show me the nonstop flights from dallas to houston	O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name
show me all flights from phoenix to milwaukee on american airlines on wednesday	O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O B-depart_date.day_name
i would like an afternoon flight from washington to boston on august twentieth	O O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
do you have any direct flights from pittsburgh to atlanta	O O O O B-connect O O B-fromloc.city_name O B-toloc.city_name
list all flights from boston to san francisco on us air	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name
show me the flights from atlanta to denver on monday	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
show flights from pittsburgh into san francisco arriving after 12 noon	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
i would like a list of the round trip flights between indianapolis and orlando on the twenty seventh or the twenty eighth of december	O O O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_number I-depart_date.day_number B-or O B-depart_date.day_number I-depart_date.day_number O B-depart_date.month_name
i would like information on flights from dallas to atlanta arriving in atlanta on tuesday morning	O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-toloc.city_name O B-arrive_date.day_name B-arrive_time.period_of_day
what is the seating capacity of a boeing 767	O O O O O O O O B-aircraft_code
what is fare code m	O O O O B-fare_basis_code
what are the classes of service on lufthansa	O O O O O O O B-airline_name
what flights are from memphis to las vegas	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
i want to go from denver to atlanta round trip and make a stop at pittsburgh is this possible	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip O O O O O B-stoploc.city_name O O O
what ground transportation is available in san francisco	O O O O O O B-city_name I-city_name
i want to leave before 8 in the morning what flight should i take to atlanta from boston	O O O O B-depart_time.time_relative B-depart_time.time O O B-depart_time.period_of_day O O O O O O B-toloc.city_name O B-fromloc.city_name
which flight between pittsburgh and baltimore on july nineteenth has the smallest seating capacity	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number O O B-mod O O
eastern flies from atlanta to denver what type of aircraft do you use before 6 pm	B-airline_name O O B-fromloc.city_name O B-toloc.city_name O O O O O O O B-depart_time.time_relative B-depart_time.time I-depart_time.time
give me a flight from new york city to las vegas and a flight from memphis to las vegas that arrive at the same time	O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O O
is there a flight on american airlines from boston to denver	O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name
information on ground transportation in denver	O O O O O B-city_name
list the northwest airlines flights that leave denver before noon	O O B-airline_name I-airline_name O O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time
i'd like to fly from dallas to san francisco at approximately 615 pm	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time
i would like a flight from boston to denver on monday	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
what's the first flight after 1 pm leaving washington to denver	O O B-flight_mod O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-fromloc.city_name O B-toloc.city_name
what are the nonstop flights on america west or southwest air from kansas city to burbank on saturday may twenty two	O O O B-flight_stop O O B-airline_name I-airline_name B-or B-airline_name O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-arrive_date.day_name B-arrive_date.month_name B-arrive_date.day_number I-arrive_date.day_number
tell me about ground transportation between orlando international and orlando	O O O O O O B-fromloc.airport_name I-fromloc.airport_name O B-toloc.city_name
i'd like a twa flight from las vegas to new york nonstop	O O O B-airline_code O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-flight_stop
is there a delta flight from denver to san francisco	O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
i want to fly from boston at 838 am and arrive in denver at 1110 in the morning	O O O O O B-fromloc.city_name O B-depart_time.time I-depart_time.time O O O B-toloc.city_name O B-arrive_time.time O O B-arrive_time.period_of_day
show me all round trip flights between houston and las vegas	O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
i would like some information on a flight from denver to san francisco on united airlines	O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name
what are the coach flights between dallas and baltimore leaving august tenth and returning august twelve	O O O B-class_type O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number O O B-return_date.month_name B-return_date.day_number
i'm flying from boston to the bay area	O O O B-fromloc.city_name O O B-toloc.city_name I-toloc.city_name
okay can you tell me the flight cost between denver and atlanta	O O O O O O O O O B-fromloc.city_name O B-toloc.city_name
from montreal to las vegas	O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what is the earliest breakfast flight from philadelphia to fort worth	O O O B-flight_mod B-meal_description O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
flights from pittsburgh to baltimore between 10 am and 2 pm	O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time
what is the latest flight departing from boston to san francisco	O O O B-flight_mod O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
flights from ontario to florida	O O B-fromloc.city_name O B-toloc.state_name
i would like to know the first class fare on a flight from baltimore to denver	O O O O O O B-class_type I-class_type O O O O O B-fromloc.city_name O B-toloc.city_name
okay that sounds great let's go from atlanta on april twenty one in the morning to dallas least expensive fare one way	O O O O O O O B-fromloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O B-depart_time.period_of_day O B-toloc.city_name B-cost_relative I-cost_relative O B-round_trip I-round_trip
show me the prices of all flights from atlanta to washington dc	O O O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code
flights from cincinnati to o'hare departing after 718 am american	O O B-fromloc.city_name O B-toloc.airport_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time B-airline_name
i'm interested in a flight from pittsburgh to atlanta	O O O O O O B-fromloc.city_name O B-toloc.city_name
i am interested in booking an early morning flight from dallas into houston on february twenty second and returning late in the evening of february twenty second	O B-depart_time.period_of_day O O O O B-depart_time.period_of_day B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O O O O B-return_time.period_of_day O B-return_date.month_name B-return_date.day_number I-return_date.day_number
i'm looking for a flight from oakland to denver with a stopover in dallas fort worth	O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name I-stoploc.city_name I-stoploc.city_name
what's restriction ap68	O O B-restriction_code
what types of ground transportation are available in philadelphia	O O O O O O O O B-city_name
what does the abbreviation co mean	O O O O B-airline_code O
a first class flight on american to san francisco on the coming tuesday	O B-class_type I-class_type O O B-airline_name O B-toloc.city_name I-toloc.city_name O O B-depart_date.date_relative B-depart_date.day_name
please list the flights from baltimore to san francisco on fridays	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
what flights return from denver to philadelphia on a saturday	O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name
on united airlines flying from denver to san francisco before 10 am what type of aircraft is used	O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time O O O O O O
i need a flight from atlanta to baltimore nonstop arriving at 7 pm please	O O O O O B-fromloc.city_name O B-toloc.city_name B-flight_stop O O B-arrive_time.time I-arrive_time.time O
what are the cheapest round trip flights from denver to atlanta	O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
does continental fly from denver to san francisco	O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
i would like a nonstop flight from st. petersburg to charlotte leaving in the afternoon	O O O O B-flight_stop O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-arrive_time.period_of_day
on continental airlines any class service from san francisco to pittsburgh	O B-airline_name I-airline_name O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
find me the cheapest flight from boston to washington	O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name
well i'll try last time tell me the kind of aircraft united airlines flies from denver to san francisco before 10 o'clock in the morning	O O O O O O O O O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time O O B-depart_time.period_of_day
show me the northwest flights from detroit to st. petersburg	O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
morning flights from pittsburgh to atlanta on wednesday	B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
